index,Si,No,Total,% Si,% No
Largas Filas,8924,9884,18808,47.44789451297321,52.5521054870268
Falta de Claridad,2987,14377,17364,17.202257544344622,82.79774245565538
Horario Restringido,3160,15297,18457,17.120875548572357,82.87912445142764
Ventanilla Incorrecta,2680,14839,17519,15.29767680803699,84.70232319196302
Lejania del Sitio,2639,15783,18422,14.325263272174574,85.67473672782543
Informacion Erronea,1644,16380,18024,9.121171770972039,90.87882822902796
Fallas Telefonicas,223,2451,2674,8.339566192969334,91.66043380703066
Requisitos Excesivos,1296,16180,17476,7.415884641794461,92.58411535820554
Fallas Servicio en Linea,108,2200,2308,4.679376083188909,95.32062391681109
Costo Excesivo,447,14167,14614,3.058710825236075,96.94128917476392
Otro,200,17585,17785,1.124543154343548,98.87545684565644
